common_name,species,patch,breeding_colours_cs,multiple_forms_cs,multiple_forms_museum,patterned,colourblocked,iridescent,colours_cs
Albert's Lyrebird,Menura alberti,upper_breast,,,,,,,brown
Apostlebird,Struthidea cinerea,upper_breast,,,,Y,,,grey
Arafura Fantail,Rhipidura dryas,upper_breast,,,,Y,,,"cream, black"
Ashy-bellied White-eye,Zosterops citrinella,upper_breast,,,,,,,cream
Asian Koel,Eudynamys scolopaceus,upper_breast,,,,,,,black
Atherton Scrubwren,Sericornis keri,upper_breast,,,,,,,brown
Australasian Bittern,Botaurus poiciloptilus,upper_breast,,,,Y,,,"cream, brown"
Australasian Bushlark,Mirafra javanica,upper_breast,,,,Y,,,"cream, brown"
Australasian Darter,Anhinga novaehollandiae,upper_breast,,,,,,,black
Australasian Figbird,Sphecotheres vieilloti,upper_breast,,Y,N,,,,"grey, yellow"
Australasian Grass-Owl,Tyto longimembris,upper_breast,,,,Y,,,"white, black"
Australasian Grebe,Tachybaptus novaehollandiae,upper_breast,Y,,,,,,cream
Australasian Pipit,Anthus novaeseelandiae,upper_breast,,,,Y,,,"cream, brown"
Australasian Swamphen,Porphyrio melanotus,upper_breast,,,,,,,blue
Australian Brushturkey,Alectura lathami,upper_breast,,Y,,Y,,,"black, white"
Australian Bustard,Ardeotis australis,upper_breast,,,,,,,cream
Australian Crake,Porzana fluminea,upper_breast,,,,,,,grey
Australian Fairy Tern,Sternula nereis,upper_breast,Y,,,,,,white
Australian Hobby,Falco longipennis,upper_breast,,Y,,Y,,,"cream, brown"
Australian Ibis,Threskiornis molucca,upper_breast,Y,,,,,,white
Australian Kestrel,Falco cenchroides,upper_breast,,,,Y,,,"cream, brown"
Australian King-Parrot,Alisterus scapularis,upper_breast,,,,,,,red
Australian Logrunner,Orthonyx temminckii,upper_breast,,,,,,,white
Australian Magpie,Gymnorhina tibicen,upper_breast,,Y,,,,,black
Australian Masked-Owl,Tyto novaehollandiae,upper_breast,,Y,,,Y,,"white, brown, black"
Australian Owlet-nightjar,Aegotheles cristatus,upper_breast,,Y,,Y,,,"cream, brown, grey"
Australian Painted-Snipe,Rostratula australis,upper_breast,,,,Y,,,brown
Australian Pelican,Pelecanus conspicillatus,upper_breast,Y,,,,,,white
Australian Pratincole,Stiltia isabella,upper_breast,Y,,,,,,cream
Australian Raven,Corvus coronoides,upper_breast,,,,,,,black
Australian Reed Warbler,Acrocephalus australis,upper_breast,,,,,,,cream
Australian Ringneck,Barnardius zonarius,upper_breast,,Y,,,,,green
Australian Shelduck,Tadorna tadornoides,upper_breast,,,,,,,orange
Australian Shoveler,Spatula rhynchotis,upper_breast,Y,,,Y,,,"brown, black"
Australian Swiftlet,Aerodramus terraereginae,upper_breast,,,,,,,cream
Australian Yellow White-eye,Zosterops luteus,upper_breast,,,,,,,yellow
Azure Kingfisher,Ceyx azureus,upper_breast,,,,,,,orange
Baillon's Crake,Zapornia pusilla,upper_breast,,,,,,,grey
Banded Honeyeater,Cissomela pectoralis,upper_breast,,,,,,,white
Banded Lapwing,Vanellus tricolor,upper_breast,,,,,,,black
Banded Stilt,Cladorhynchus leucocephalus,upper_breast,Y,,,,,,brown
Banded Whiteface,Aphelocephala nigricincta,upper_breast,,,,,,,white
Bar-breasted Honeyeater,Ramsayornis fasciatus,upper_breast,,,,Y,,,"cream, brown"
Barking Owl,Ninox connivens,upper_breast,,,,Y,,,"cream, brown"
Barn Owl,Tyto alba,upper_breast,,,,Y,,,"white, brown"
Barred Cuckooshrike,Coracina lineata,upper_breast,,,,,,,grey
Bar-shouldered Dove,Geopelia humeralis,upper_breast,Y,,,,,,grey
Bassian Thrush,Zoothera lunulata,upper_breast,,,,Y,,,"cream, brown"
Baudin's Black-Cockatoo,Calyptorhynchus baudinii,upper_breast,,,,Y,,,"black, grey"
Beach Thick-knee,Esacus magnirostris,upper_breast,,,,,,,"cream, brown"
Beautiful Firetail,Stagonopleura bella,upper_breast,,,,Y,,,"grey, black"
Bell Miner,Manorina melanophrys,upper_breast,,,,,,,green
Black Bittern,Ixobrychus flavicollis,upper_breast,,,,Y,,,"black, cream"
Black Butcherbird,Cracticus quoyi,upper_breast,,,,,,,black
Black Currawong,Strepera fuliginosa,upper_breast,,,,,,,black
Black Falcon,Falco subniger,upper_breast,,Y,,,,,"brown, black"
Black Grasswren,Amytornis housei,upper_breast,,,,Y,,,"black, white"
Black Honeyeater,Sugomel nigrum,upper_breast,,,,,,,black
Black Kite,Milvus migrans,upper_breast,,,,,,,brown
Black Swan,Cygnus atratus,upper_breast,,,,,,,black
Black-backed Bittern,Ixobrychus dubius,upper_breast,,,,Y,,,"cream, brown"
Black-backed Butcherbird,Cracticus mentalis,upper_breast,,,,,,,white
Black-banded Fruit-Dove,Ptilinopus alligator,upper_breast,,,,,,,white
Black-breasted Buttonquail,Turnix melanogaster,upper_breast,,,,Y,,,"cream, black"
Black-breasted Kite,Hamirostra melanosternon,upper_breast,,,,,,,black
Black-chinned Honeyeater,Melithreptus gularis,upper_breast,,Y,,,,,"cream, grey"
Black-eared Catbird,Ailuroedus melanotis,upper_breast,,,,Y,,,"brown, yellow"
Black-eared Cuckoo,Chrysococcyx osculans,upper_breast,,,,,,,cream
Black-eared Miner,Manorina melanotis,upper_breast,,,,Y,,,grey
Black-faced Cormorant,Phalacrocorax fuscescens,upper_breast,Y,,,,,,white
Black-faced Cuckooshrike,Coracina novaehollandiae,upper_breast,,Y,,,,,"grey, black"
Black-faced Monarch,Monarcha melanopsis,upper_breast,,,,,,,grey
Black-faced Woodswallow,Artamus cinereus,upper_breast,,Y,,,,,grey
Black-fronted Dotterel,Elseyornis melanops,upper_breast,,,,,,,black
Black-headed Honeyeater,Melithreptus affinis,upper_breast,,,,,,,grey
Black-naped Tern,Sterna sumatrana,upper_breast,Y,,,,,,white
Black-necked Stork,Ephippiorhynchus asiaticus,upper_breast,,,,,,,white
Black-shouldered Kite,Elanus axillaris,upper_breast,,,,,,,white
Black-tailed Nativehen,Tribonyx ventralis,upper_breast,,,,,,,grey
Black-tailed Treecreeper,Climacteris melanurus,upper_breast,,,,Y,,,"brown, black, white"
Black-tailed Whistler,Pachycephala melanura,upper_breast,,,,,,,yellow
Black-throated Finch,Poephila cincta,upper_breast,,Y,,,,,peach
Black-winged Monarch,Monarcha frater,upper_breast,,,,,,,grey
Blue-billed Duck,Oxyura australis,upper_breast,Y,,,,,,brown
Blue-breasted Fairywren,Malurus pulcherrimus,upper_breast,Y,,,,,Y,blue
Blue-breasted Quail,Synoicus chinensis,upper_breast,,,,Y,,,grey
Blue-faced Honeyeater,Entomyzon cyanotis,upper_breast,,,,,,,black
Blue-faced Parrotfinch,Erythrura trichroa,upper_breast,,,,,,,green
Blue-winged Kookaburra,Dacelo leachii,upper_breast,,N,,Y,,,"cream, brown"
Blue-winged Parrot,Neophema chrysostoma,upper_breast,,,,,,,green
Bourke's Parrot,Neophema bourkii,upper_breast,,,,,,,brown
Bower's Shrikethrush,Colluricincla boweri,upper_breast,,,,Y,,,"orange, grey"
Brahminy Kite,Haliastur indus,upper_breast,,,,,,,white
Bridled Honeyeater,Bolemoreus frenatus,upper_breast,,,,Y,,,brown
Broad-billed Flycatcher,Myiagra ruficollis,upper_breast,,,,,,,orange
Brolga,Antigone rubicunda,upper_breast,,,,,,,grey
Brown Cuckoo-Dove,Macropygia phasianella,upper_breast,,,,,,,brown
Brown Falcon,Falco berigora,upper_breast,,Y,Y,Y,,,"brown, cream"
Brown Gerygone,Gerygone mouki,upper_breast,,Y,,,,,"cream, brown"
Brown Goshawk,Accipiter fasciatus,upper_breast,,Y,,Y,,,"cream, brown"
Brown Honeyeater,Lichmera indistincta,upper_breast,,,,Y,,,"brown, grey"
Brown Quail,Synoicus ypsilophorus,upper_breast,,N,,Y,,,"brown, cream, black"
Brown Songlark,Cincloramphus cruralis,upper_breast,Y,,,,,,brown
Brown Thornbill,Acanthiza pusilla,upper_breast,,Y,,Y,,,"cream, black"
Brown Treecreeper,Climacteris picumnus,upper_breast,,Y,,,,,grey
Brown-backed Honeyeater,Ramsayornis modestus,upper_breast,,,,Y,,,"cream, brown"
Brown-headed Honeyeater,Melithreptus brevirostris,upper_breast,,Y,,,,,cream
Brush Bronzewing,Phaps elegans,upper_breast,,,,,,,grey
Brush Cuckoo,Cacomantis variolosus,upper_breast,,,,,,,grey
Budgerigar,Melopsittacus undulatus,upper_breast,,,,,,,green
Buff-banded Rail,Gallirallus philippensis,upper_breast,,,,,,,orange
Buff-breasted Paradise-Kingfisher,Tanysiptera sylvia,upper_breast,,,,,,,orange
Buff-rumped Thornbill,Acanthiza reguloides,upper_breast,,Y,,Y,,,"cream, brown, yellow"
Buff-sided Robin,Poecilodryas cerviniventris,upper_breast,,,,,,,grey
Bush Thick-knee,Burhinus grallarius,upper_breast,,,,Y,,,"white, brown"
Cape Barren Goose,Cereopsis novaehollandiae,upper_breast,,,,,,,grey
Carnaby's Black-Cockatoo,Calyptorhynchus latirostris,upper_breast,,,,Y,,,"black, grey"
Carpentarian Grasswren,Amytornis dorotheae,upper_breast,,,,,,,white
Caspian Tern,Hydroprogne caspia,upper_breast,Y,,,,,,white
Cattle Egret,Bubulcus ibis,upper_breast,Y,,,,,,orange
Channel-billed Cuckoo,Scythrops novaehollandiae,upper_breast,,,,,,,grey
Chestnut Quail-thrush,Cinclosoma castanotum,upper_breast,,,,,,,black
Chestnut Rail,Gallirallus castaneoventris,upper_breast,,,,,,,pink
Chestnut Teal,Anas castanea,upper_breast,,,,,,,brown
Chestnut-backed Buttonquail,Turnix castanotus,upper_breast,,,,Y,,,grey
Chestnut-breasted Cuckoo,Cacomantis castaneiventris,upper_breast,,,,,,,brown
Chestnut-breasted Munia,Lonchura castaneothorax,upper_breast,,,,,,,orange
Chestnut-breasted Quail-thrush,Cinclosoma castaneothorax,upper_breast,,N,,,,,brown
Chestnut-breasted Whiteface,Aphelocephala pectoralis,upper_breast,,,,,,,orange
Chestnut-crowned Babbler,Pomatostomus ruficeps,upper_breast,,,,,,,white
Chestnut-quilled Rock-Pigeon,Petrophassa rufipennis,upper_breast,,,,Y,,,"brown, grey"
Chestnut-rumped Heathwren,Hylacola pyrrhopygia,upper_breast,,,,Y,,,"cream, brown"
Chestnut-rumped Thornbill,Acanthiza uropygialis,upper_breast,,,,,,,cream
Chiming Wedgebill,Psophodes occidentalis,upper_breast,,,,,,,grey
Chirruping Wedgebill,Psophodes cristatus,upper_breast,,,,,,,cream
Chowchilla,Orthonyx spaldingii,upper_breast,,,,,,,white
Cinnamon Quail-thrush,Cinclosoma cinnamomeum,upper_breast,,N,,,,,white
Cockatiel,Nymphicus hollandicus,upper_breast,,,,,,,grey
Collared Sparrowhawk,Accipiter cirrocephalus,upper_breast,,,,Y,,,"brown, grey"
Comb-crested Jacana,Irediparra gallinacea,upper_breast,,,,,,,black
Common Bronzewing,Phaps chalcoptera,upper_breast,,,,,,,pink
Common Cicadabird,Edolisoma tenuirostre,upper_breast,,,,,,,grey
Cotton Pygmy-Goose,Nettapus coromandelianus,upper_breast,,,,Y,,,
Crescent Honeyeater,Phylidonyris pyrrhopterus,upper_breast,,,,,Y,,black
Crested Bellbird,Oreoica gutturalis,upper_breast,,,,,,,black
Crested Pigeon,Ocyphaps lophotes,upper_breast,,,,,,,grey
Crested Shrike-tit,Falcunculus frontatus,upper_breast,,Y,,,,,yellow
Crimson Chat,Epthianura tricolor,upper_breast,,,,,,,red
Crimson Finch,Neochmia phaeton,upper_breast,,Y,,,,,red
Crimson Rosella,Platycercus elegans,upper_breast,,Y,,,,,red
Diamond Dove,Geopelia cuneata,upper_breast,,,,,,,grey
Diamond Firetail,Stagonopleura guttata,upper_breast,,,,,,,black
Dollarbird,Eurystomus orientalis,upper_breast,,,,,,,green
Double-barred Finch,Taeniopygia bichenovii,upper_breast,,Y,,,,,cream
Double-eyed Fig-Parrot,Cyclopsitta diophthalma,upper_breast,,Y,,,,,green
Dusky Gerygone,Gerygone tenebrosa,upper_breast,,,,,,,cream
Dusky Grasswren,Amytornis purnelli,upper_breast,,,,Y,,,"cream, brown"
Dusky Moorhen,Gallinula tenebrosa,upper_breast,Y,,,,,,grey
Dusky Myzomela,Myzomela obscura,upper_breast,,,,,,,brown
Dusky Robin,Melanodryas vittata,upper_breast,,,,,,,cream
Dusky Woodswallow,Artamus cyanopterus,upper_breast,,,,,,,"grey, brown"
Eastern Bristlebird,Dasyornis brachypterus,upper_breast,,,,Y,,,"grey, brown"
Eastern Rosella,Platycercus eximius,upper_breast,,,,,,,red
Eastern Spinebill,Acanthorhynchus tenuirostris,upper_breast,,,,,,,black
Eastern Whipbird,Psophodes olivaceus,upper_breast,,,,,,,black
Eastern Yellow Robin,Eopsaltria australis,upper_breast,,Y,,,,,yellow
Eclectus Parrot,Eclectus roratus,upper_breast,,,,,,,green
Elegant Parrot,Neophema elegans,upper_breast,,,,,,,green
Emu,Dromaius novaehollandiae,upper_breast,,,,,,,brown
Eungella Honeyeater,Bolemoreus hindwoodi,upper_breast,,,,Y,,,"brown, cream"
Eurasian Coot,Fulica atra,upper_breast,,,,,,,grey
Eyrean Grasswren,Amytornis goyderi,upper_breast,,,,,,,cream
Fairy Gerygone,Gerygone palpebrosa,upper_breast,,,,,,,
Fairy Martin,Petrochelidon ariel,upper_breast,,,,Y,,,"cream, brown"
Fan-tailed Cuckoo,Cacomantis flabelliformis,upper_breast,,,,,,,brown
Fawn-breasted Bowerbird,Chlamydera cerviniventris,upper_breast,,,,Y,,,"brown, cream"
Fernwren,Oreoscopus gutturalis,upper_breast,,,,,,,black
Flame Robin,Petroica phoenicea,upper_breast,,,,,,,orange
Flock Bronzewing,Phaps histrionica,upper_breast,,,,,,,grey
Forest Kingfisher,Todiramphus macleayii,upper_breast,,,,,,,white
Forest Raven,Corvus tasmanicus,upper_breast,,,,,,,black
Forty-spotted Pardalote,Pardalotus quadragintus,upper_breast,,,,Y,,,"cream, brown"
Freckled Duck,Stictonetta naevosa,upper_breast,Y,,,Y,,,"brown, cream"
Frill-necked Monarch,Arses lorealis,upper_breast,,,,,,,white
Fuscous Honeyeater,Ptilotula fusca,upper_breast,Y,,,Y,,,"cream, brown"
Galah,Eolophus roseicapilla,upper_breast,,Y,,,,,pink
Gang-gang Cockatoo,Callocephalon fimbriatum,upper_breast,,,,Y,,,"grey, white"
Gibber Chat,Ashbyia lovensis,upper_breast,,,,,,,yellow
Gilbert's Whistler,Pachycephala inornata,upper_breast,,,,,,,grey
Glossy Black-Cockatoo,Calyptorhynchus lathami,upper_breast,,,,,,,black
Glossy Ibis,Plegadis falcinellus,upper_breast,,Y,,,,,brown
Golden Bowerbird,Amblyornis newtoniana,upper_breast,,,,,,,yellow
Golden Whistler,Pachycephala pectoralis,upper_breast,,,,,,,black
Golden-headed Cisticola,Cisticola exilis,upper_breast,Y,,,,,,cream
Golden-shouldered Parrot,Psephotus chrysopterygius,upper_breast,,,,,,,blue
Gouldian Finch,Erythrura gouldiae,upper_breast,,Y,,,,,purple
Graceful Honeyeater,Meliphaga gracilis,upper_breast,,,,,,,grey
Gray Butcherbird,Cracticus torquatus,upper_breast,,,,,,,"white, grey"
Gray Currawong,Strepera versicolor,upper_breast,,Y,,,,,grey
Gray Falcon,Falco hypoleucos,upper_breast,,,,Y,,,"grey, brown"
Gray Fantail,Rhipidura albiscapa,upper_breast,,Y,,,,,cream
Gray Goshawk,Accipiter novaehollandiae,upper_breast,,Y,Y,Y,,,"white, grey"
Gray Grasswren,Amytornis barbatus,upper_breast,,,,Y,,,"white, black"
Gray Honeyeater,Conopophila whitei,upper_breast,,,,,,,cream
Gray Shrikethrush,Colluricincla harmonica,upper_breast,,Y,,,,,grey
Gray Teal,Anas gracilis,upper_breast,,,,Y,,,"cream, brown"
Gray Whistler,Pachycephala simplex,upper_breast,,,,,,,
Gray-crowned Babbler,Pomatostomus temporalis,upper_breast,,Y,Y,,,,"cream, brown"
Gray-fronted Honeyeater,Ptilotula plumula,upper_breast,,,,Y,,,"cream, brown"
Gray-headed Honeyeater,Ptilotula keartlandi,upper_breast,,,,Y,,,"yellow, grey"
Gray-headed Robin,Heteromyias cinereifrons,upper_breast,,,,,,,grey
Great Bowerbird,Chlamydera nuchalis,upper_breast,,,,,,,grey
Great Cormorant,Phalacrocorax carbo,upper_breast,Y,,,,,,black
Great Crested Grebe,Podiceps cristatus,upper_breast,Y,,,,,,white
Great Crested Tern,Thalasseus bergii,upper_breast,Y,,,,,,white
Great Egret,Ardea alba,upper_breast,Y,,,,,,white
Greater Bluebonnet,Northiella haematogaster,upper_breast,,Y,,Y,,,"grey, cream"
Green Catbird,Ailuroedus crassirostris,upper_breast,,,,Y,,,"green, cream"
Green Oriole,Oriolus flavocinctus,upper_breast,,,,Y,,,"green, black"
Green Pygmy-Goose,Nettapus pulchellus,upper_breast,Y,,,,,,cream
Green Rosella,Platycercus caledonicus,upper_breast,,,,,,,yellow
Green-backed Gerygone,Gerygone chloronota,upper_breast,,,,,,,white
Green-backed Honeyeater,Glycichaera fallax,upper_breast,,,,,,,"grey, cream"
Ground Cuckooshrike,Coracina maxima,upper_breast,,,,,,,grey
Ground Parrot,Pezoporus wallicus,upper_breast,,,,Y,,,"green, black"
Gull-billed Tern,Gelochelidon nilotica,upper_breast,Y,,,,,,white
Hall's Babbler,Pomatostomus halli,upper_breast,,,,,,,white
Hardhead,Aythya australis,upper_breast,,,,,,,brown
Helmeted Friarbird,Philemon buceroides,upper_breast,,,,Y,,,"cream, brown"
Hoary-headed Grebe,Poliocephalus poliocephalus,upper_breast,Y,,,,,,cream
Hooded Parrot,Psephotus dissimilis,upper_breast,,,,,,,blue
Hooded Plover,Thinornis cucullatus,upper_breast,,,,,Y,,white
Hooded Robin,Melanodryas cucullata,upper_breast,,,,,,,white
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,upper_breast,,,,Y,,,"white, brown"
Inland Dotterel,Peltohyas australis,upper_breast,,,,,Y,,black
Inland Thornbill,Acanthiza apicalis,upper_breast,,,,Y,,,"cream, black"
Intermediate Egret,Ardea intermedia,upper_breast,Y,,,,,,white
Jacky-winter,Microeca fascinans,upper_breast,,,,,,,cream
Kalkadoon Grasswren,Amytornis ballarae,upper_breast,,,,Y,,,"brown, black, white"
Kelp Gull,Larus dominicanus,upper_breast,,,,,,,white
Large-billed Gerygone,Gerygone magnirostris,upper_breast,,,,,,,brown
Large-billed Scrubwren,Sericornis magnirostra,upper_breast,,,,,,,brown
Large-tailed Nightjar,Caprimulgus macrurus,upper_breast,,,,Y,,,"brown, cream"
Laughing Kookaburra,Dacelo novaeguineae,upper_breast,,,,,,,white
Leaden Flycatcher,Myiagra rubecula,upper_breast,,,,,,Y,blue
Lemon-bellied Flycatcher,Microeca flavigaster,upper_breast,,N,,,,,yellow
Lesser Crested Tern,Thalasseus bengalensis,upper_breast,Y,,,,,,white
Letter-winged Kite,Elanus scriptus,upper_breast,,,,,,,white
Lewin's Honeyeater,Meliphaga lewinii,upper_breast,,,,Y,,,grey
Lewin's Rail,Lewinia pectoralis,upper_breast,,,,,,,grey
Little Black Cormorant,Phalacrocorax sulcirostris,upper_breast,Y,,,,,,black
Little Bronze-Cuckoo,Chrysococcyx minutillus,upper_breast,,Y,,Y,,,"cream, brown, orange"
Little Buttonquail,Turnix velox,upper_breast,,,,,,,"cream, orange"
Little Corella,Cacatua sanguinea,upper_breast,,,,,,,white
Little Crow,Corvus bennetti,upper_breast,,,,,,,black
Little Eagle,Hieraaetus morphnoides,upper_breast,,Y,,Y,,,"cream, brown, black"
Little Egret,Egretta garzetta,upper_breast,Y,,,,,,
Little Friarbird,Philemon citreogularis,upper_breast,,,,Y,,,cream
Little Grassbird,Poodytes gramineus,upper_breast,,,,Y,,,"cream, black"
Little Kingfisher,Ceyx pusillus,upper_breast,,,,,,,white
Little Lorikeet,Glossopsitta pusilla,upper_breast,,,,,,,green
Little Pied Cormorant,Microcarbo melanoleucos,upper_breast,Y,,,,,,white
Little Raven,Corvus mellori,upper_breast,,,,,,,black
Little Shrikethrush,Colluricincla megarhyncha,upper_breast,,Y,N,,,,"orange, grey"
Little Tern,Sternula albifrons,upper_breast,Y,,,,,,white
Little Wattlebird,Anthochaera chrysoptera,upper_breast,,,,Y,,,"brown, white"
Little Woodswallow,Artamus minor,upper_breast,,,,,,,brown
Long-billed Corella,Cacatua tenuirostris,upper_breast,,,,,,,white
Long-tailed Finch,Poephila acuticauda,upper_breast,,Y,,,,,peach
Lovely Fairywren,Malurus amabilis,upper_breast,Y,,,,,,black
Macleay's Honeyeater,Xanthotis macleayanus,upper_breast,,,,Y,,,"grey, cream"
Magnificent Riflebird,Ptiloris magnificus,upper_breast,,,,,,Y,blue
Magpie Goose,Anseranas semipalmata,upper_breast,,,,,,,white
Magpie-lark,Grallina cyanoleuca,upper_breast,,,,,,,black
Mallee Emuwren,Stipiturus mallee,upper_breast,,,,,,,cream
Malleefowl,Leipoa ocellata,upper_breast,,,,Y,Y,,"black, white"
Maned Duck,Chenonetta jubata,upper_breast,,,,Y,,,"grey, brown"
